epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.2558,0.94582,1.379,2.14291,1.0781,0.00311,0.93333,0.12414,0.03986,0,0,0,0,2.29099,207.299,3.64144,2.2433,0.091,0.001,0.001
2,123.5,1.17887,1.15287,1.32838,1.12133,0.00693,0.83333,0.1305,0.03667,0,0,0,0,3.16474,1348,3.23132,5.76682,0.0810979,0.00209792,0.00209792
3,181.101,1.34993,1.09316,1.31202,1.17774,0.00315,0.3,0.00215,0.00038,0,0,0,0,4.58964,3386.53,4.80899,42.6719,0.0711937,0.00319366,0.00319366
4,239.412,1.36993,0.97647,1.16526,1.18718,0.00315,0.3,0.00215,0.00038,0,0,0,0,3.86329,1405.26,6.57169,41.3239,0.0612872,0.00428723,0.00428723
5,297.771,1.34222,0.81737,1.09949,1.27523,0.00315,0.3,0.00215,0.00038,0,0,0,0,4.96559,265.392,182.246,38.6553,0.0513786,0.00537862,0.00537862
6,355.787,1.37766,0.79328,1.18437,1.2201,0.00315,0.3,0.00215,0.00038,0,0,0,0,5.13474,142.764,307.272,50.2078,0.0414678,0.00646782,0.00646782
7,416.865,1.32247,0.7978,1.0284,1.20341,0.00011,0.03333,6e-05,1e-05,0.00011,0.03333,6e-05,1e-05,4.00855,8329.28,8968.47,196.359,0.0315549,0.00755486,0.00755486
8,478.723,1.19717,0.85494,0.98598,1.14255,0.00011,0.03333,6e-05,1e-05,0.00011,0.03333,6e-05,1e-05,4.02119,39907.1,29705.9,290.809,0.0216397,0.00863971,0.00863971
9,538.645,1.2426,0.83619,0.94826,1.11638,0.00282,0.6,0.00252,0.00056,0,0,0,0,4.00098,20314.2,9085.95,225.427,0.0117224,0.00972238,0.00972238
10,598.788,1.13064,0.79977,0.9063,1.1192,0.00282,0.6,0.00252,0.00056,0,0,0,0,4.79903,468.843,2412.6,133.36,0.0099109,0.0099109,0.0099109
11,655.944,1.05031,0.71152,0.83129,1.0704,0.00282,0.6,0.00252,0.00056,0,0,0,0,4.28652,596.657,398.696,48.2921,0.009901,0.009901,0.009901
12,722.04,1.08964,0.93419,0.85896,1.09322,0.00023,0.03333,7e-05,1e-05,0,0,0,0,5.49302,35.8322,1152.13,30.3643,0.0098911,0.0098911,0.0098911
13,791.03,1.15633,0.97013,0.93466,1.11545,0.00023,0.03333,7e-05,1e-05,0,0,0,0,4.79584,38.8389,4651.46,29.5952,0.0098812,0.0098812,0.0098812
14,860.202,1.10828,0.79502,0.81663,1.09025,0.00026,0.03333,9e-05,1e-05,0.00053,0.06667,0.0002,2e-05,4.72257,12.1996,656.996,16.6506,0.0098713,0.0098713,0.0098713
15,926.439,1.02861,0.751,0.76887,1.05567,0.00023,0.06667,0.00012,1e-05,0,0,0,0,4.95629,5.77152,375.664,8.7539,0.0098614,0.0098614,0.0098614
16,985.642,0.98665,0.69138,0.72575,1.01224,0.00023,0.06667,0.00012,1e-05,0,0,0,0,3.35713,7.09336,5.69391,3.7419,0.0098515,0.0098515,0.0098515
17,1043.25,0.98682,0.77943,0.71627,1.02301,0.30964,0.33333,0.25966,0.08001,0.21537,0.26667,0.14619,0.05169,2.63243,8.94765,3.94121,2.70483,0.0098416,0.0098416,0.0098416
18,1100.41,0.91933,0.68733,0.69808,1.00058,0.61256,0.1,0.09515,0.04266,0.45315,0.06667,0.06571,0.0261,2.78613,18.1184,6.15464,2.89889,0.0098317,0.0098317,0.0098317
19,1158.14,0.98294,0.84484,0.72096,1.02561,0.67077,0.6,0.5741,0.37487,0.67077,0.6,0.56915,0.38486,1.36926,1.96982,2.13558,1.44494,0.0098218,0.0098218,0.0098218
20,1215.55,0.90162,0.76475,0.66607,0.99462,0.52858,0.36667,0.30609,0.20733,0.71225,0.33025,0.35905,0.27741,2.40627,0.96013,3.48706,2.81333,0.0098119,0.0098119,0.0098119
21,1272.28,0.90455,0.70776,0.64488,0.98776,0.69301,0.1,0.11773,0.09177,0.38984,0.16667,0.15163,0.10941,2.81782,0.93904,4.57533,3.09909,0.009802,0.009802,0.009802
22,1329.94,0.92741,0.72229,0.65272,0.99986,0.24693,0.1,0.0679,0.04889,0.24693,0.1,0.06931,0.06434,2.95454,1.24771,5.16649,2.75293,0.0097921,0.0097921,0.0097921
23,1387.8,0.84041,0.67074,0.62415,0.9879,0.36902,0.13333,0.10132,0.05425,0.16825,0.2,0.08825,0.05205,3.39317,4.76827,4.91981,3.96064,0.0097822,0.0097822,0.0097822
24,1445.33,0.76815,0.61444,0.59238,0.94444,0.83542,0.73333,0.72566,0.51627,0.83542,0.73333,0.73063,0.52391,1.2633,1.76823,1.48117,1.33309,0.0097723,0.0097723,0.0097723
25,1502.06,0.82417,0.68774,0.61723,0.96677,0.96701,0.97733,0.99403,0.80294,0.96701,0.97733,0.99403,0.88733,0.81422,0.60838,1.34588,1.07515,0.0097624,0.0097624,0.0097624
26,1558.86,0.85155,0.67137,0.62596,0.95445,0.80396,0.7,0.84902,0.70765,0.80396,0.7,0.84902,0.7902,0.74269,0.56966,2.32344,1.01574,0.0097525,0.0097525,0.0097525
27,1615.79,0.77701,0.68217,0.59087,0.92218,0.86798,0.93333,0.98065,0.81243,0.86798,0.93333,0.98065,0.90376,0.75045,0.5165,1.74362,1.01885,0.0097426,0.0097426,0.0097426
28,1673.18,0.78534,0.68266,0.56795,0.94686,0.96625,1,0.995,0.79692,0.96625,1,0.995,0.90273,0.77722,0.61822,1.01285,1.02619,0.0097327,0.0097327,0.0097327
29,1730.77,0.77836,0.68616,0.56424,0.94927,0.96732,0.98686,0.99306,0.78952,0.96732,0.98686,0.99306,0.8599,0.77408,0.83334,1.82783,1.04957,0.0097228,0.0097228,0.0097228
30,1788.48,0.79027,0.63054,0.56304,0.94353,0.69538,1,0.89666,0.69893,0.69538,1,0.89666,0.7504,0.77775,1.17991,1.26349,0.98549,0.0097129,0.0097129,0.0097129
31,1846.09,0.78826,0.68175,0.59318,0.96466,1,0.93856,0.98643,0.81473,1,0.93856,0.98643,0.90316,0.68824,0.40427,1.62375,0.92681,0.009703,0.009703,0.009703
32,1903.76,0.77864,0.58398,0.55255,0.93788,0.99699,1,0.995,0.829,0.99699,1,0.995,0.93185,0.63457,0.44721,1.35004,0.90838,0.0096931,0.0096931,0.0096931
33,1960.35,0.71394,0.64422,0.53132,0.94022,0.98337,1,0.995,0.85596,0.98337,1,0.995,0.93375,0.61439,0.41814,1.0209,0.90316,0.0096832,0.0096832,0.0096832
34,2016.93,0.72056,0.58782,0.52583,0.93995,0.99266,1,0.995,0.82855,0.99266,1,0.995,0.90298,0.6506,0.55224,0.85706,0.92793,0.0096733,0.0096733,0.0096733
35,2073.55,0.7294,0.61527,0.5277,0.93573,0.99048,1,0.995,0.85079,0.99048,1,0.995,0.90375,0.6243,0.53302,0.73246,0.90352,0.0096634,0.0096634,0.0096634
36,2130.12,0.7216,0.6686,0.51858,0.92529,0.86954,0.83333,0.93983,0.7349,0.89443,0.83333,0.88809,0.68138,0.79827,1.72093,0.97599,1.00988,0.0096535,0.0096535,0.0096535
37,2186.26,0.71765,0.51079,0.50599,0.94648,0.98266,1,0.995,0.8837,0.98266,1,0.995,0.94325,0.6132,0.44086,0.47349,0.91611,0.0096436,0.0096436,0.0096436
38,2244.06,0.66405,0.55543,0.4928,0.91638,0.99503,1,0.995,0.85948,0.99503,1,0.995,0.95697,0.59393,0.42197,0.44226,0.89538,0.0096337,0.0096337,0.0096337
39,2301.26,0.6997,0.61967,0.50796,0.90395,0.9971,1,0.995,0.84912,0.9971,1,0.995,0.95191,0.59626,0.4297,0.46804,0.89145,0.0096238,0.0096238,0.0096238
40,2357.98,0.72505,0.69001,0.50189,0.909,0.96241,0.53333,0.68051,0.53538,0.96241,0.53333,0.66047,0.30766,1.05604,6.47282,1.17851,1.18799,0.0096139,0.0096139,0.0096139
41,2414.7,0.69805,0.54287,0.49653,0.9138,0.99563,1,0.995,0.8524,0.99563,1,0.995,0.94364,0.58015,0.43562,0.49813,0.87155,0.009604,0.009604,0.009604
42,2471.1,0.69802,0.61399,0.51241,0.93031,0.76842,0.86667,0.84858,0.65025,0.69224,0.8,0.72025,0.39039,0.79984,3.96694,0.69244,1.01329,0.0095941,0.0095941,0.0095941
43,2527.86,0.65156,0.62309,0.47506,0.90503,0.96842,1,0.995,0.87783,0.96842,1,0.995,0.91934,0.57376,0.4889,0.50358,0.88916,0.0095842,0.0095842,0.0095842
44,2584.77,0.65001,0.54257,0.49602,0.91695,0.99739,1,0.995,0.85573,0.99739,1,0.995,0.9033,0.64792,0.49642,0.45395,0.8952,0.0095743,0.0095743,0.0095743
45,2641.99,0.70839,0.63188,0.51789,0.91888,0.98963,1,0.995,0.82396,0.98963,1,0.995,0.89616,0.67035,0.56493,0.47844,0.92306,0.0095644,0.0095644,0.0095644
46,2699.31,0.69728,0.54991,0.49761,0.90368,0.96814,1,0.995,0.85287,0.96814,1,0.995,0.90823,0.62939,0.4745,0.45645,0.92137,0.0095545,0.0095545,0.0095545
47,2756.08,0.67321,0.52946,0.50414,0.92141,0.98995,1,0.995,0.86598,0.98995,1,0.995,0.91519,0.62109,0.4016,0.50101,0.90704,0.0095446,0.0095446,0.0095446
48,2812.84,0.6707,0.54505,0.4841,0.9139,0.99667,1,0.995,0.87124,0.99667,1,0.995,0.918,0.58498,0.41801,0.50507,0.89321,0.0095347,0.0095347,0.0095347
49,2869.43,0.65516,0.52626,0.46473,0.9126,0.99743,1,0.995,0.86976,0.99743,1,0.995,0.93575,0.53993,0.46465,0.39106,0.87809,0.0095248,0.0095248,0.0095248
50,2926.82,0.65379,0.64415,0.477,0.91099,0.9962,1,0.995,0.85933,0.9962,1,0.995,0.94177,0.53412,0.43319,0.53802,0.85807,0.0095149,0.0095149,0.0095149
51,2986.6,0.73984,0.56492,0.48511,0.91934,0.99777,1,0.995,0.86961,0.93235,0.93333,0.92059,0.58414,0.58359,2.77287,0.40261,0.8815,0.009505,0.009505,0.009505
52,3044.36,0.69559,0.53736,0.48153,0.91213,0.98647,1,0.995,0.85123,0.98647,1,0.995,0.88616,0.59139,0.68006,0.56946,0.88245,0.0094951,0.0094951,0.0094951
53,3102.37,0.69256,0.56643,0.49694,0.91031,0.99624,1,0.995,0.88064,0.99624,1,0.995,0.88134,0.6211,0.82244,0.51523,0.90522,0.0094852,0.0094852,0.0094852
54,3161.54,0.70092,0.55238,0.50465,0.92697,0.75013,0.8,0.70592,0.54702,0.75013,0.8,0.70153,0.52137,0.92057,2.00974,0.98441,1.06,0.0094753,0.0094753,0.0094753
55,3218.67,0.67709,0.5072,0.51419,0.91493,0.99666,1,0.995,0.87663,0.99666,1,0.995,0.95329,0.54836,0.3867,0.601,0.86905,0.0094654,0.0094654,0.0094654
56,3275.65,0.62439,0.55812,0.45689,0.8982,0.99546,1,0.995,0.87646,0.99546,1,0.995,0.92923,0.56971,0.37955,0.46044,0.87276,0.0094555,0.0094555,0.0094555
57,3333.4,0.65926,0.61377,0.46723,0.91725,0.9971,1,0.995,0.88899,0.9971,1,0.995,0.92512,0.54744,0.40596,0.39413,0.87012,0.0094456,0.0094456,0.0094456
58,3389.88,0.61954,0.54745,0.46006,0.91385,0.99771,1,0.995,0.87269,0.99771,1,0.995,0.92086,0.56098,0.41565,0.37742,0.90592,0.0094357,0.0094357,0.0094357
59,3446.6,0.61859,0.57774,0.44148,0.8957,0.95987,0.96667,0.98971,0.84068,0.95987,0.96667,0.98832,0.88543,0.61188,0.68329,0.47947,0.94234,0.0094258,0.0094258,0.0094258
60,3506.78,0.62597,0.62851,0.48343,0.89459,0.98536,0.96667,0.99,0.87296,0.98536,0.96667,0.983,0.88986,0.53789,0.65768,0.45395,0.90273,0.0094159,0.0094159,0.0094159
61,3564.8,0.62954,0.57501,0.47045,0.90865,0.99554,1,0.995,0.87239,0.99554,1,0.995,0.89799,0.54174,0.48539,0.37787,0.89196,0.009406,0.009406,0.009406
62,3621.81,0.59332,0.54217,0.4528,0.89586,0.99742,1,0.995,0.88805,0.99742,1,0.995,0.93241,0.51331,0.41928,0.38076,0.86562,0.0093961,0.0093961,0.0093961
63,3678.54,0.58404,0.50858,0.43692,0.88853,0.99323,1,0.995,0.86923,0.99323,1,0.995,0.93868,0.51302,0.40802,0.4321,0.86392,0.0093862,0.0093862,0.0093862
64,3735.29,0.58076,0.54471,0.4461,0.88465,0.98358,1,0.995,0.88686,0.98358,1,0.995,0.91629,0.47757,0.47465,0.43616,0.8466,0.0093763,0.0093763,0.0093763
65,3792.62,0.56503,0.52461,0.42364,0.88115,0.99084,1,0.995,0.89253,0.99084,1,0.995,0.95269,0.46607,0.38598,0.34438,0.83725,0.0093664,0.0093664,0.0093664
66,3850.1,0.55801,0.49012,0.41666,0.87987,0.99782,1,0.995,0.85025,0.99782,1,0.995,0.94359,0.51057,0.36055,0.38415,0.85798,0.0093565,0.0093565,0.0093565
67,3907.84,0.61032,0.68465,0.46091,0.87763,0.99763,1,0.995,0.85318,0.99763,1,0.995,0.9569,0.53955,0.37233,0.37638,0.86455,0.0093466,0.0093466,0.0093466
68,3965.17,0.57861,0.52789,0.42031,0.86688,0.99765,1,0.995,0.86347,0.99765,1,0.995,0.93937,0.57093,0.3621,0.40625,0.87437,0.0093367,0.0093367,0.0093367
69,4021.77,0.60925,0.52451,0.46338,0.87051,0.99777,1,0.995,0.85775,0.99777,1,0.995,0.94049,0.59527,0.35475,0.42781,0.87888,0.0093268,0.0093268,0.0093268
70,4078.77,0.6231,0.58873,0.45403,0.89208,0.99781,1,0.995,0.90742,0.99781,1,0.995,0.95268,0.48218,0.37159,0.34753,0.85628,0.0093169,0.0093169,0.0093169
71,4135.96,0.62198,0.54071,0.43782,0.88931,0.99719,1,0.995,0.89935,0.99719,1,0.995,0.95318,0.50312,0.37177,0.37028,0.85706,0.009307,0.009307,0.009307
72,4193.42,0.59151,0.55627,0.42298,0.88276,0.99739,1,0.995,0.89161,0.99739,1,0.995,0.94325,0.51229,0.40291,0.39139,0.85199,0.0092971,0.0092971,0.0092971
73,4250.01,0.60058,0.52666,0.42851,0.88446,0.99778,1,0.995,0.86767,0.99778,1,0.995,0.96082,0.52246,0.36772,0.4147,0.85146,0.0092872,0.0092872,0.0092872
74,4306.67,0.60918,0.58056,0.44728,0.89112,0.99791,1,0.995,0.88374,0.99791,1,0.995,0.93416,0.4863,0.36525,0.35041,0.83756,0.0092773,0.0092773,0.0092773
75,4364.25,0.58778,0.52667,0.42666,0.87821,0.99768,1,0.995,0.88242,0.99768,1,0.995,0.95949,0.47212,0.3582,0.33685,0.83647,0.0092674,0.0092674,0.0092674
76,4421.46,0.63048,0.56453,0.44373,0.87716,0.95822,0.93333,0.97867,0.88687,0.95822,0.93333,0.97867,0.87639,0.53889,0.6621,0.51974,0.8579,0.0092575,0.0092575,0.0092575
77,4478.5,0.64612,0.56992,0.46716,0.89995,0.86633,0.86667,0.90896,0.79686,0.86633,0.86667,0.89136,0.73318,0.67316,1.05905,0.663,0.91897,0.0092476,0.0092476,0.0092476
78,4535.25,0.61872,0.52693,0.44561,0.89403,0.99753,1,0.995,0.89622,0.99753,1,0.995,0.93566,0.49862,0.41846,0.38836,0.84399,0.0092377,0.0092377,0.0092377
79,4591.85,0.63764,0.56872,0.47164,0.8963,0.9964,1,0.995,0.90031,0.9964,1,0.995,0.72621,0.53682,1.09146,0.40274,0.87262,0.0092278,0.0092278,0.0092278
80,4648.71,0.64045,0.5212,0.46811,0.90249,0.9953,1,0.995,0.88706,0.9953,1,0.995,0.93533,0.50268,0.38656,0.44631,0.85322,0.0092179,0.0092179,0.0092179
81,4705.73,0.55956,0.56262,0.44904,0.87454,0.9974,1,0.995,0.88241,0.9974,1,0.995,0.93415,0.50059,0.4024,0.39246,0.85059,0.009208,0.009208,0.009208
82,4763.9,0.68179,0.64877,0.48962,0.90142,0.99497,1,0.995,0.886,0.99497,1,0.995,0.94851,0.54363,0.39127,0.45723,0.86981,0.0091981,0.0091981,0.0091981
83,4821.33,0.67684,0.60626,0.4798,0.9193,0.99658,1,0.995,0.9002,0.99658,1,0.995,0.94493,0.54271,0.4388,0.41,0.87331,0.0091882,0.0091882,0.0091882
84,4877.3,0.58199,0.51729,0.43068,0.88664,0.99248,1,0.995,0.8982,0.99248,1,0.995,0.97023,0.48688,0.35939,0.37378,0.86175,0.0091783,0.0091783,0.0091783
85,4933.77,0.59431,0.53157,0.43036,0.899,0.99798,1,0.995,0.88323,0.99798,1,0.995,0.93126,0.54675,0.39887,0.35187,0.87431,0.0091684,0.0091684,0.0091684
86,4991.15,0.56087,0.50005,0.42902,0.89175,0.99803,1,0.995,0.88288,0.99803,1,0.995,0.9455,0.51126,0.41765,0.33934,0.85914,0.0091585,0.0091585,0.0091585
87,5048.08,0.58641,0.552,0.41171,0.87944,0.99806,1,0.995,0.90319,0.99806,1,0.995,0.96483,0.46788,0.39958,0.33766,0.84717,0.0091486,0.0091486,0.0091486
88,5104.84,0.61283,0.5257,0.41655,0.89598,0.99802,1,0.995,0.88957,0.99802,1,0.995,0.95359,0.49759,0.38211,0.35754,0.85725,0.0091387,0.0091387,0.0091387
89,5161.82,0.60102,0.51013,0.43003,0.89688,0.20082,0.13333,0.07444,0.031,0.0112,0.03333,0.00243,0.00024,4.16002,11.0257,3.23743,5.06217,0.0091288,0.0091288,0.0091288
90,5218.96,0.58223,0.49987,0.41474,0.86707,0.99788,1,0.995,0.91497,0.99788,1,0.995,0.95965,0.44224,0.37723,0.35864,0.83475,0.0091189,0.0091189,0.0091189
91,5275.54,0.58515,0.52252,0.43035,0.88205,0.99707,1,0.995,0.87815,0.99707,1,0.995,0.94235,0.49481,0.37773,0.3245,0.85034,0.009109,0.009109,0.009109
92,5331.77,0.58706,0.49063,0.43356,0.88154,0.99759,1,0.995,0.91048,0.99759,1,0.995,0.96919,0.41565,0.3723,0.31172,0.834,0.0090991,0.0090991,0.0090991
93,5388.11,0.52802,0.53903,0.39742,0.85731,0.99794,1,0.995,0.90948,0.99794,1,0.995,0.96478,0.441,0.36498,0.31171,0.83815,0.0090892,0.0090892,0.0090892
94,5444.63,0.54354,0.53349,0.39898,0.86695,0.99814,1,0.995,0.92079,0.99814,1,0.995,0.96194,0.44431,0.36986,0.30134,0.83401,0.0090793,0.0090793,0.0090793
95,5509.13,0.54976,0.54485,0.39812,0.87287,0.99817,1,0.995,0.94472,0.99817,1,0.995,0.95149,0.42975,0.38469,0.30962,0.84245,0.0090694,0.0090694,0.0090694
96,5568.47,0.55967,0.50749,0.3965,0.87997,0.99807,1,0.995,0.93324,0.99807,1,0.995,0.93286,0.40276,0.39071,0.29319,0.83074,0.0090595,0.0090595,0.0090595
97,5625.43,0.52915,0.53599,0.37548,0.87195,0.99705,1,0.995,0.91749,0.99705,1,0.995,0.9412,0.43211,0.42375,0.31398,0.84289,0.0090496,0.0090496,0.0090496
98,5683.29,0.54391,0.47916,0.39496,0.86523,0.99686,1,0.995,0.9051,0.99686,1,0.995,0.94038,0.46599,0.5084,0.3223,0.86598,0.0090397,0.0090397,0.0090397
99,5739.92,0.50845,0.52852,0.38683,0.87576,0.99692,1,0.995,0.90332,0.99692,1,0.995,0.92809,0.47963,0.50031,0.34128,0.87385,0.0090298,0.0090298,0.0090298
100,5796.93,0.54076,0.50718,0.40858,0.85841,0.99768,1,0.995,0.89822,0.99768,1,0.995,0.95675,0.46882,0.3818,0.33764,0.84048,0.0090199,0.0090199,0.0090199
101,5853.39,0.54229,0.5038,0.39342,0.86014,0.99793,1,0.995,0.9224,0.99793,1,0.995,0.94819,0.42575,0.35479,0.30817,0.83223,0.00901,0.00901,0.00901
102,5910.29,0.5297,0.54198,0.41446,0.86543,0.99804,1,0.995,0.89859,0.99804,1,0.995,0.96917,0.44879,0.37199,0.33486,0.85368,0.0090001,0.0090001,0.0090001
103,5968.46,0.57886,0.6031,0.40214,0.8727,0.99663,1,0.995,0.91806,0.99663,1,0.995,0.94922,0.39289,0.37978,0.33595,0.83056,0.0089902,0.0089902,0.0089902
104,6026.26,0.53791,0.51328,0.38631,0.89165,0.99781,1,0.995,0.90304,0.99781,1,0.995,0.93307,0.44214,0.42241,0.31739,0.83314,0.0089803,0.0089803,0.0089803
105,6082.91,0.58072,0.53012,0.41803,0.87142,0.99786,1,0.995,0.89367,0.99786,1,0.995,0.92513,0.50094,0.42974,0.33431,0.84027,0.0089704,0.0089704,0.0089704
106,6139.37,0.58487,0.53825,0.40713,0.88465,0.88086,0.986,0.94737,0.79398,0.88086,0.986,0.94737,0.84225,0.52758,0.525,0.50913,0.86371,0.0089605,0.0089605,0.0089605
107,6195.84,0.56986,0.54191,0.40561,0.88689,0.9978,1,0.995,0.892,0.9978,1,0.995,0.96751,0.49074,0.35787,0.36097,0.84694,0.0089506,0.0089506,0.0089506
108,6252.51,0.59255,0.55744,0.41078,0.8952,0.99764,1,0.995,0.90624,0.99764,1,0.995,0.96346,0.44212,0.37966,0.33599,0.82989,0.0089407,0.0089407,0.0089407
109,6308.75,0.5438,0.47817,0.40018,0.87011,0.99756,1,0.995,0.90922,0.99756,1,0.995,0.96916,0.42602,0.36392,0.32126,0.83154,0.0089308,0.0089308,0.0089308
110,6364.94,0.5499,0.53579,0.38599,0.89012,0.9971,1,0.995,0.8923,0.9971,1,0.995,0.95761,0.46316,0.40408,0.30965,0.8429,0.0089209,0.0089209,0.0089209
111,6422.06,0.53123,0.48796,0.39077,0.86677,0.99767,1,0.995,0.90925,0.99767,1,0.995,0.95607,0.47946,0.38475,0.3295,0.84979,0.008911,0.008911,0.008911
112,6481.4,0.55414,0.50171,0.39569,0.87773,0.99813,1,0.995,0.90349,0.99813,1,0.995,0.95758,0.48752,0.3727,0.33059,0.84686,0.0089011,0.0089011,0.0089011
113,6538.43,0.52431,0.53865,0.39707,0.87948,0.99787,1,0.995,0.92015,0.99787,1,0.995,0.95485,0.43273,0.35915,0.30365,0.83658,0.0088912,0.0088912,0.0088912
114,6597.89,0.53871,0.51383,0.40775,0.88406,0.99742,1,0.995,0.9245,0.99742,1,0.995,0.95579,0.448,0.38815,0.32969,0.82343,0.0088813,0.0088813,0.0088813
115,6654.7,0.53142,0.46269,0.39222,0.88646,0.99753,1,0.995,0.92161,0.99753,1,0.995,0.95627,0.42562,0.36192,0.32158,0.82489,0.0088714,0.0088714,0.0088714
